team,week 1,week 2,week 3,week 4,week 5,week 6,week 7,week 8,week 9,week 10,week 11,week 12,week 13,week 14,week 15,week 16,week 17,week 18,week 19,week 20,week 21,week 22,week 23,week 24,week 25,week 26,week 27,week 28
Nijmegen,1,2,5,5,5,5,6,9,9,10,11,12,12,15,15,18,19,22,25,25,25,25,25,25,28,28,28,28
Den Haag,3,6,9,10,10,10,10,10,10,11,11,14,14,14,14,14,17,17,17,17,17,17,17,18,19,22,22,25
Twente,0,0,3,6,6,9,12,13,14,17,18,19,20,20,21,24,24,24,27,30,30,31,34,35,38,38,41,41
Utrecht,0,1,1,2,3,3,6,6,9,12,13,16,17,18,21,24,25,28,28,31,34,34,37,40,41,41,44,47
Willem II,0,0,3,4,4,5,6,6,7,7,10,10,11,14,15,16,19,19,19,22,22,25,26,29,29,32,33,33
AZ Alkmaar,1,1,4,7,10,13,14,15,16,16,19,20,21,24,25,25,28,31,32,32,32,35,36,37,38,38,41,42
Groningen,0,0,0,1,2,5,6,6,6,9,9,10,13,16,16,19,20,23,24,25,26,26,27,27,28,28,29,30
Roda,1,2,2,3,3,3,3,3,6,7,8,9,10,11,12,12,13,13,13,16,16,17,20,20,20,23,23,23
Sparta Rotterdam,0,3,6,6,7,10,10,11,12,12,13,16,16,17,17,17,17,17,18,18,18,18,19,22,25,25,28,28
Heerenveen,1,2,2,5,8,11,14,15,18,21,22,22,23,23,26,29,29,32,32,33,33,33,33,36,37,37,37,37
Ajax,3,4,4,7,10,13,16,19,22,23,26,27,30,33,36,36,37,40,43,46,49,52,55,58,59,62,63,66
Excelsior,3,6,6,6,9,10,10,10,10,10,10,10,13,14,15,15,16,16,17,17,18,19,19,19,20,23,24,25
Vitesse,3,3,6,7,7,10,10,13,14,15,15,15,16,17,20,23,23,26,27,30,33,33,33,36,36,39,39,42
Zwolle,1,1,1,1,2,2,2,5,6,9,12,13,13,13,13,14,14,14,17,17,20,23,23,24,27,27,30,31
Feyenoord,3,6,9,12,15,18,21,24,27,28,29,29,32,33,36,39,42,45,48,51,54,57,60,63,63,66,69,69
Go Ahead Eagles,0,1,1,1,4,4,5,8,8,8,8,11,11,11,11,11,12,12,13,13,16,19,19,19,20,20,20,23
Heracles,1,4,4,5,5,5,6,7,8,8,9,12,15,15,18,18,21,21,21,21,24,25,28,28,28,31,31,34
PSV Eindhoven,3,6,9,10,13,13,16,17,18,21,24,25,26,29,30,33,34,37,40,43,46,49,52,52,55,58,61,64
